Day,Price
0,9074.743
1,9849.031
2,9157.223
3,9296.445
4,9429.903
5,9289.033
6,9305.643
7,9361.361
8,9409.861
9,9407.871
10,9488.082
11,8921.141
12,9108.853
13,9103.833
14,9004.7
15,9088.43
16,9151.918
17,9102.726
18,9048.312
19,8936.9
20,9006.064
21,8946.299
22,9309.239
23,9243.448
24,8967.055
25,8912.983
26,8837.675
27,8698.67
28,8772.938
29,8852.98
30,8809.617
31,8901.37
32,8769.039
33,8741.385
34,8809.364
35,8751.3125
36,8998.566
37,8922.37
38,9090.939
39,8900.724
40,8947.204
41,8904.706
42,8966.504
43,8902.849
44,8921.169
45,8857.237
46,8801.354
47,8826.358
48,8848.224
49,8876.488
50,8832.793
51,9049.28
52,9173.624
53,9250.567
54,9194.836
55,9340.361
56,9547.969
57,10552.394
58,10452.426
59,10623.055
60,10617.209
61,10834.109
62,11254.039
63,10579.981
64,10729.963
65,10693.002
66,11197.117
67,11217.834
68,11066.27
69,11209.251
70,11140.045
71,11328.057
72,10875.858
73,11030.539
74,11226.711
75,11220.29
76,11291.478
77,11339.89
78,11681.01
79,11377.78
80,11205.432
81,11294.959
82,11002.352
83,11125.595
84,11110.661
85,11199.322
86,10817.278
87,10937.25
88,10822.425
89,11003.258
90,10951.49
91,11157.781
92,11111.583
93,11345.802
94,10885.451
95,9766.122
96,10033.508
97,9763.502
98,9846.752
99,9952.804
100,9728.38
101,9814.6045
102,9921.705
103,9970.331
104,10016.091
105,9912.609
106,10227.634
107,10327.032
108,10485.002
109,10467.641
110,10461.203
111,10592.795
112,10447.946
113,9990.813
114,10093.994
115,9824.247
116,10276.44
117,10236.243
118,10274.484
119,10312.489
120,10235.799
121,10373.43
122,10314.845
123,10174.74
124,10132.838
125,10114.964
126,10217.767
127,10327.799
128,10152.648
129,10214.953
130,10451.646
131,10569.613
132,10780.47
133,10851.582
134,10997.765
135,10904.684
136,10906.8125
137,10977.359
138,10813.636
139,10848.251
140,10979.824
141,11194.689
142,11343.31
143,12124.389
144,12281.756
145,12236.988
146,12399.937
147,12332.615
148,12359.162
149,12862.779
150,12543.636
151,12701.232
152,12799.814
153,13003.796
154,12967.79
155,12791.315
156,13179.677
157,13301.529
158,14527.836
159,14524.299
160,13867.143
161,14423.139
162,14294.12
163,14285.043
164,14606.304
165,15102.264
166,15124.357
167,14918.284
168,14828
169,15441.477
170,16207.523
171,16297.54
172,16326.923
173,16986.852
174,17000.22
175,16784.06
176,16756.508
177,17348.19
178,17027.574
179,15814.698
180,15797.332
181,16263.177
182,16624.426
183,17759.74
184,17087.469
185,17412.758
186,17580.912
187,16988.076
188,17368.207
189,17529.186
190,17380.18
191,16717.486
192,16902.234
193,16667.098
194,16497.945
195,17107.344
196,17367.348
197,17446.379
198,17574.527
199,18992.652
200,20026.62
201,20237.117
202,20711.348
203,20474.277
204,19964.613
205,20686.154
206,20306.807
207,20642.422
208,21289.836
209,22386.66
210,22250.45
211,22744.852
212,22930.152
213,23810.146
