Date,Price
6/1/2020,9510.424
6/2/2020,9605.814
6/3/2020,9691.306
6/4/2020,9689.094
6/5/2020,9743.038
6/8/2020,9862.934
6/9/2020,9906.635
6/10/2020,10051.41
6/11/2020,9830.753
6/12/2020,9755.379
6/15/2020,9465.74
6/16/2020,9989.059
6/17/2020,9982.6045
6/18/2020,9931.883
6/19/2020,10081.108
6/22/2020,9984.78
6/23/2020,10169.405
6/24/2020,10131.682
6/25/2020,9938.75
6/26/2020,10034.268
6/29/2020,9811.239
6/30/2020,9914.721
7/1/2020,10102.5625
7/2/2020,10306.375
7/6/2020,10397.343
7/7/2020,10448.937
7/8/2020,10445.856
7/9/2020,10598.525
7/10/2020,10580.935
7/13/2020,10762.423
7/14/2020,10347.636
7/15/2020,10611.363
7/16/2020,10480.032
7/17/2020,10536.072
7/20/2020,10561.278
7/21/2020,10868.611
7/22/2020,10720.72
7/23/2020,10722.608
7/24/2020,10331.921
7/27/2020,10458.087
7/28/2020,10544.655
7/29/2020,10510.537
7/30/2020,10486.22
7/31/2020,10773.795
8/3/2020,10879.183
8/4/2020,10927.539
8/5/2020,10996.171
8/6/2020,11017.833
8/7/2020,11098.626
8/10/2020,11060.668
8/11/2020,10971.456
8/12/2020,10908.134
8/13/2020,11053.944
8/14/2020,11068.996
8/17/2020,11109.108
8/18/2020,11194.571
8/19/2020,11237.534
8/20/2020,11121.961
8/21/2020,11280.059
8/24/2020,11465.493
8/25/2020,11388.796
8/26/2020,11530.767
8/27/2020,11696.525
8/28/2020,11697.576
8/31/2020,11726.033
9/1/2020,11853.128
9/2/2020,12041.107
9/3/2020,11863.629
9/4/2020,11414.058
9/8/2020,10930.298
9/9/2020,11091.027
9/10/2020,11257.74
9/11/2020,11037.508
9/14/2020,11037.576
9/15/2020,11217.214
9/16/2020,11244.63
9/17/2020,10827.494
9/18/2020,11001.637
9/21/2020,10644.353
9/22/2020,10903.401
9/23/2020,10979.458
9/24/2020,10585.981
9/25/2020,10713.703
9/28/2020,11110.212
9/29/2020,11134.274
9/30/2020,11118.54
10/1/2020,11312.72
10/2/2020,11108.402
10/5/2020,11192.971
10/6/2020,11334.65
10/7/2020,11292.949
10/8/2020,11459.769
10/9/2020,11502.662
10/12/2020,11739.057
10/13/2020,11901.865
10/14/2020,11889.699
10/15/2020,11572.625
10/16/2020,11767.455
10/19/2020,11739.067
10/20/2020,11545.49
10/21/2020,11544.097
10/22/2020,11540.786
10/23/2020,11549.533
10/26/2020,11457.142
10/27/2020,11426.772
10/28/2020,11253.228
10/29/2020,11090.742
10/30/2020,11128.87
11/2/2020,11037.88
11/3/2020,11065.492
11/4/2020,11460.176
11/5/2020,11819.862
11/6/2020,11871.308
11/9/2020,12040.536
11/10/2020,11633.085
11/11/2020,11666.105
11/12/2020,11806.573
11/13/2020,11799.304
11/16/2020,11849.431
11/17/2020,11912.9795
11/18/2020,11896.401
11/19/2020,11784.011
11/20/2020,11893.179
11/23/2020,11916.248
11/24/2020,11937.874
11/25/2020,12047.441
11/27/2020,12147.839
11/30/2020,12209.74
12/1/2020,12294.325
12/2/2020,12268.141
12/3/2020,12347.276
12/4/2020,12375.715
12/7/2020,12433.988
12/8/2020,12473.768
12/9/2020,12557.106
12/10/2020,12231.876
12/11/2020,12316.528
12/14/2020,12421.1875
12/15/2020,12511.539
12/16/2020,12575.295
12/17/2020,12687.601
12/18/2020,12756.935
12/21/2020,12561.291
12/22/2020,12738.5205
12/23/2020,12784.95
12/24/2020,12744.428
12/28/2020,12859.222
12/29/2020,12906.413
12/30/2020,12851.654
12/31/2020,12824.252
