,0
0,9510.424
1,9605.814
2,9691.306
3,9689.094
4,9743.038
5,9862.934
6,9906.635
7,10051.41
8,9830.753
9,9755.379
10,9465.74
11,9989.059
12,9982.6045
13,9931.883
14,10081.108
15,9984.78
16,10169.405
17,10131.682
18,9938.75
19,10034.268
20,9811.239
21,9914.721
22,10102.5625
23,10306.375
24,10397.343
25,10448.937
26,10445.856
27,10598.525
28,10580.935
29,10762.423
30,10347.636
31,10611.363
32,10480.032
33,10536.072
34,10561.278
35,10868.611
36,10720.72
37,10722.608
38,10331.921
39,10458.087
40,10544.655
41,10510.537
42,10486.22
43,10773.795
44,10879.183
45,10927.539
46,10996.171
47,11017.833
48,11098.626
49,11060.668
50,10971.456
51,10908.134
52,11053.944
53,11068.996
54,11109.108
55,11194.571
56,11237.534
57,11121.961
58,11280.059
59,11465.493
60,11388.796
61,11530.767
62,11696.525
63,11697.576
64,11726.033
65,11853.128
66,12041.107
67,11863.629
68,11414.058
69,10930.298
70,11091.027
71,11257.74
72,11037.508
73,11037.576
74,11217.214
75,11244.63
76,10827.494
77,11001.637
78,10644.353
79,10903.401
80,10979.458
81,10585.981
82,10713.703
83,11110.212
84,11134.274
85,11118.54
86,11312.72
87,11108.402
88,11192.971
89,11334.65
90,11292.949
91,11459.769
92,11502.662
93,11739.057
94,11901.865
95,11889.699
96,11572.625
97,11767.455
98,11739.067
99,11545.49
100,11544.097
101,11540.786
102,11549.533
103,11457.142
104,11426.772
105,11253.228
106,11090.742
107,11128.87
108,11037.88
109,11065.492
110,11460.176
111,11819.862
112,11871.308
113,12040.536
114,11633.085
115,11666.105
116,11806.573
117,11799.304
118,11849.431
119,11912.9795
120,11896.401
121,11784.011
122,11893.179
123,11916.248
124,11937.874
125,12047.441
126,12147.839
127,12209.74
128,12294.325
129,12268.141
130,12347.276
131,12375.715
132,12433.988
133,12473.768
134,12557.106
135,12231.876
136,12316.528
137,12421.1875
138,12511.539
139,12575.295
140,12687.601
141,12756.935
142,12561.291
143,12738.5205
144,12784.95
145,12744.428
146,12859.222
147,12906.413
148,12851.654
149,12824.252
