Date,Opening_Price,High,Low,Closing_Price
9/30/2013,124.30466,124.75166,122.56349,123.65499
10/1/2013,123.65499,125.7585,123.63383,125.455
10/2/2013,125.455,125.66566,83.32833,108.58483
10/3/2013,108.58483,118.675,107.05816,118.67466
10/4/2013,118.67466,121.93633,118.00566,121.33866
10/5/2013,121.33866,121.85216,120.5545,120.65533
10/6/2013,120.65533,121.99166,120.43199,121.795
10/7/2013,121.795,123.64016,121.35066,123.033
10/8/2013,123.033,124.7835,122.59266,124.049
10/9/2013,124.049,128.01683,123.81966,125.96116
10/10/2013,125.96116,126.43666,124.11383,125.27966
10/11/2013,125.27966,126.0365,123.12966,125.9275
10/12/2013,125.9275,126.8965,125.2765,126.38333
10/13/2013,126.38333,135.24199,126.255,135.24199
10/14/2013,135.24199,135.69216,130.39275,133.20333
10/15/2013,133.20333,143.60483,132.94933,142.76333
10/16/2013,142.76333,145.601,136.01466,137.92333
10/17/2013,137.92333,144.311,137.53966,142.95166
10/18/2013,142.95166,152.6685,142.47949,152.55183
10/19/2013,152.55183,167.07999,152.5135,160.33883
10/20/2013,160.33883,164.3315,159.89666,164.31499
10/21/2013,164.31499,177.71166,163.87149,177.63333
10/22/2013,177.63333,188.82383,177.11399,188.29716
10/23/2013,188.29716,202.34333,185.81683,200.70166
10/24/2013,200.70166,201.33316,158.72216,180.355
10/25/2013,180.355,184.09033,162.56466,175.03166
10/26/2013,175.03166,180.3185,174.74483,177.6965
10/27/2013,177.6965,188.3985,174.9035,187.15983
10/28/2013,187.15983,192.83983,185.88116,192.75666
10/29/2013,192.75666,198.41366,191.62716,197.4
10/30/2013,197.4,198.79333,192.83366,196.02499
10/31/2013,196.02499,198.57,195.02916,198.04883
11/1/2013,198.04883,199.09783,195.49,198.93233
11/2/2013,198.93233,201.24116,198.71016,200.543
11/3/2013,200.543,211.17133,200.296,210.3075
11/4/2013,210.3075,227.02833,209.23333,225.02
11/5/2013,225.02,248.32116,221.84833,248.25333
11/6/2013,248.25333,262.67166,242.95166,262.32666
11/7/2013,262.32666,294.48749,260.45166,294.48699
11/8/2013,294.48699,343.67975,293.48749,331.10325
11/9/2013,331.10325,355.2275,277.25275,285.8875
11/10/2013,285.8875,323.27249,260.70325,304.97974
11/11/2013,304.97974,339.795,303.6505,338.137
11/12/2013,338.137,358.94999,336.30775,357.48
11/13/2013,357.48,409.51,350.20999,402.954
11/14/2013,402.954,415.93975,383.5775,409.10375
11/15/2013,409.10375,427.90425,386.565,420.21649
11/16/2013,420.21649,437.9695,415.1975,437.29725
11/17/2013,437.29725,512.16999,436.13324,510.6025
11/18/2013,510.6025,781.82624,491.585,693.65
11/19/2013,693.65,716.825,394.90624,531.54249
11/20/2013,531.54249,580.11375,428.9815,574.71599
11/21/2013,574.71599,705.49725,570.78025,681.33
11/22/2013,681.33,775.6525,651.89599,774.18
11/23/2013,774.18,823.41525,691.6925,746.19374
11/24/2013,746.19374,787.2475,707.75149,768.8475
11/25/2013,768.8475,793.71424,739.8375,789.36475
11/26/2013,789.36475,904.585,787.19,893.1815
11/27/2013,893.1815,965.2525,870.38525,934.355
11/28/2013,934.355,1084.9466,912.931,1068.363
11/29/2013,1068.363,1157.49894,1028.22683,1154.92593
11/30/2013,1154.92593,1156.02831,1099.2065,1099.51926
12/1/2013,1099.51926,1099.70754,783.68616,1019.78966
12/2/2013,1019.78966,1049.67916,929.95483,1028.845
12/3/2013,1028.845,1092.83331,1021.177,1071.2848
12/4/2013,1071.2848,1151.29749,1066.87277,1139.33083
12/5/2013,1139.33083,1144.36916,870.3838,1004.61633
12/6/2013,1004.61633,1038.55,656.87499,759.43041
12/7/2013,759.43041,826.32766,558.08333,689.81
12/8/2013,689.81,845.85092,682.71342,841.83966
12/9/2013,841.83966,948.68183,809.91748,916.77599
12/10/2013,916.77599,1004.93666,900.68016,967.42866
12/11/2013,967.42866,975.62383,832.22683,866.29003
12/12/2013,866.29003,919.30033,843.4055,911.23204
12/13/2013,911.23204,933.17016,859.44999,889.81946
